Battleground,Faction,Class,KB,D,HK,DD,HD,Win,Rol
Battle for Gilneas,Horde,Demon Hunter,4,0,15,37178,3684,1,dps
Battle for Gilneas,Alliance,Mage,0,2,7,20288,9875,0,dps
Battle for Gilneas,Horde,Priest,10,3,39,95081,19128,1,dps
Battle for Gilneas,Alliance,Druid,5,8,15,69771,15734,0,dps
Battle for Gilneas,Horde,Demon Hunter,13,2,45,89028,8402,1,dps
Battle for Gilneas,Horde,Hunter,3,2,46,83294,8986,1,dps
Battle for Gilneas,Alliance,Death Knight,2,4,9,47238,30650,0,dps
Battle for Gilneas,Horde,Druid,0,3,37,1252,120000,1,heal
Battle for Gilneas,Alliance,Warlock,4,8,15,43835,26686,0,dps
Battle for Gilneas,Horde,Shaman,0,2,32,21391,115000,1,heal
Battle for Gilneas,Alliance,Rogue,3,1,13,31195,3906,0,dps
Battle for Gilneas,Horde,Rogue,4,2,21,55218,2656,1,dps
Battle for Gilneas,Alliance,Death Knight,5,5,15,78313,29998,0,dps
Battle for Gilneas,Horde,Death Knight,4,3,45,130000,33765,1,dps
Battle for Gilneas,Alliance,Death Knight,3,6,17,49009,34908,0,dps
Battle for Gilneas,Alliance,Warrior,4,3,12,60407,9878,0,dps
Battle for Gilneas,Alliance,Shaman,1,5,20,29282,194000,0,heal
Battle for Gilneas,Horde,Rogue,5,5,23,63628,4453,1,dps
Battle for Gilneas,Alliance,Warrior,0,6,15,34361,240,0,dps
Battle for Gilneas,Alliance,Druid,0,4,15,1830,151000,0,heal
Battle for Gilneas,Horde,Hunter,9,3,39,148000,10409,1,dps
Battle for Gilneas,Horde,Hunter,4,1,45,59282,3860,1,dps
Silvershard mines,Horde,Rogue,1,3,17,32704,5553,1,dps
Silvershard mines,Alliance,Priest,0,1,28,13229,81912,0,heal
Silvershard mines,Horde,Paladin,1,4,17,64542,19661,1,dps
Silvershard mines,Alliance,Mage,0,1,28,19638,5315,0,dps
Silvershard mines,Alliance,Warrior,13,3,28,77108,16067,0,dps
Silvershard mines,Horde,Shaman,0,2,14,7782,67102,1,heal
Silvershard mines,Alliance,Hunter,1,2,27,36395,9152,0,dps
Silvershard mines,Horde,Warlock,0,1,15,6503,849,1,dps
Silvershard mines,Horde,Shaman,1,1,16,47946,16400,1,dps
Silvershard mines,Alliance,Demon Hunter,1,1,28,112000,15644,0,dps
Silvershard mines,Alliance,Demon Hunter,1,2,26,31128,3765,0,dps
Silvershard mines,Horde,Hunter,4,2,17,62828,5705,1,dps
Silvershard mines,Horde,Warrior,10,3,18,108000,22101,1,dps
Silvershard mines,Alliance,Druid,3,1,25,35865,12856,0,dps
Silvershard mines,Alliance,Death Knight,0,5,27,84026,16686,0,dps
Silvershard mines,Alliance,Priest,2,1,28,43705,103000,0,heal
Silvershard mines,Alliance,Monk,4,2,25,67706,25297,0,dps
Silvershard mines,Horde,Priest,0,3,18,25256,260000,1,heal
Silvershard mines,Horde,Druid,1,4,17,28922,8454,1,dps
Twin peaks,Horde,Warlock,2,4,35,71878,26368,0,dps
Twin peaks,Alliance,Paladin,1,3,26,954,39017,1,heal
Twin peaks,Alliance,Paladin,8,2,28,100000,29124,1,dps
Twin peaks,Horde,Priest,1,1,23,15828,124000,0,heal
Twin peaks,Alliance,Shaman,3,7,21,24455,12843,1,dps
Twin peaks,Horde,Shaman,0,6,27,18443,92832,0,heal
Twin peaks,Horde,Demon Hunter,4,4,32,55542,9357,0,dps
Twin peaks,Horde,Warrior,8,5,29,30900,1550,0,dps
Twin peaks,Alliance,Warrior,4,8,25,51643,10127,1,dps
Twin peaks,Alliance,Druid,1,3,29,6308,83198,1,heal
Twin peaks,Alliance,Hunter,4,5,28,47922,10859,1,dps
Twin peaks,Horde,Demon Hunter,9,2,23,74427,4347,0,dps
Twin peaks,Horde,Hunter,3,7,20,37201,7869,0,dps
Twin peaks,Alliance,Death Knight,3,3,31,90633,20820,1,dps
Twin peaks,Alliance,Mage,5,3,22,38892,7575,1,dps
Twin peaks,Horde,Paladin,6,7,27,110000,31388,0,dps
Twin peaks,Horde,Hunter,8,3,31,29438,2748,0,dps
Twin peaks,Horde,Demon Hunter,0,3,28,14453,2035,0,dps
Twin peaks,Alliance,Rogue,1,5,30,49197,10575,1,dps
Twin peaks,Alliance,Rogue,11,1,29,108000,8185,1,dps
Warsong gulch,Horde,Hunter,4,1,11,97295,11051,0,dps
Warsong gulch,Alliance,Druid,0,0,19,5346,131000,1,heal
Warsong gulch,Alliance,Demon Hunter,4,1,19,28905,24982,1,dps
Warsong gulch,Alliance,Hunter,0,5,19,21373,11905,1,dps
Warsong gulch,Horde,Shaman,2,1,12,5257,68760,0,heal
Warsong gulch,Horde,Mage,3,4,11,58701,7883,0,dps
Warsong gulch,Alliance,Demon Hunter,4,2,16,25613,3007,1,dps
Warsong gulch,Horde,Death Knight,1,0,3,3429,713,0,dps
Warsong gulch,Horde,Warrior,3,3,13,63508,7230,0,dps
Warsong gulch,Horde,Shaman,1,4,6,26308,10242,0,dps
Warsong gulch,Alliance,Paladin,3,1,17,59045,20714,1,dps
Warsong gulch,Alliance,Druid,7,0,20,76081,3545,1,dps
Warsong gulch,Alliance,Hunter,2,2,19,49974,5659,1,dps
Warsong gulch,Alliance,Priest,1,3,17,16243,43414,1,heal
Warsong gulch,Alliance,Paladin,5,0,22,59773,16037,1,dps
Warsong gulch,Horde,Death Knight,0,4,6,21801,11728,0,dps
Warsong gulch,Alliance,Warrior,0,1,9,15955,17154,1,dps
Warsong gulch,Horde,Druid,0,3,11,4546,11622,0,heal
Warsong gulch,Alliance,Warlock,10,3,39,131000,71560,1,dps
Warsong gulch,Alliance,Priest,0,3,40,24948,204000,1,heal
Warsong gulch,Horde,Warrior,4,5,33,69962,13217,0,dps
Warsong gulch,Horde,Warrior,6,5,41,84419,27094,0,dps
Warsong gulch,Horde,Warlock,11,5,38,157000,52790,0,dps
Warsong gulch,Alliance,Rogue,4,6,39,49224,12447,1,dps
Warsong gulch,Horde,Demon Hunter,3,7,37,49124,3666,0,dps
Warsong gulch,Horde,Shaman,0,6,33,13227,181000,0,heal
Warsong gulch,Alliance,Priest,0,1,39,11311,38052,1,heal
Warsong gulch,Alliance,Demon Hunter,10,3,33,115000,20511,1,dps
Warsong gulch,Horde,Mage,9,1,42,109000,22016,0,dps
Warsong gulch,Horde,Priest,1,6,35,26847,10549,0,dps
Warsong gulch,Alliance,Warlock,2,9,30,39385,35296,1,dps
Warsong gulch,Alliance,Death Knight,7,7,35,125000,36936,1,dps
Warsong gulch,Horde,Paladin,6,3,36,107000,25480,0,dps
Warsong gulch,Horde,Druid,0,7,38,40416,14201,0,dps
Warsong gulch,Alliance,Mage,3,5,36,123000,37924,1,dps
Warsong gulch,Alliance,Rogue,3,3,32,50688,19978,1,dps
Warsong gulch,Alliance,Rogue,8,3,36,71231,6136,1,dps
Warsong gulch,Horde,Priest,0,3,38,5043,159000,0,heal
Warsong gulch,Alliance,Warrior,8,2,29,102000,23384,1,dps
Warsong gulch,Alliance,Death Knight,2,3,29,82649,37455,1,dps
Warsong gulch,Alliance,Priest,0,4,25,4157,136000,1,heal
Warsong gulch,Alliance,Hunter,3,4,29,83540,11000,1,dps
Warsong gulch,Horde,Priest,2,3,18,116000,32554,0,dps
Warsong gulch,Horde,Warlock,3,5,18,88537,21718,0,dps
Warsong gulch,Horde,Hunter,2,4,18,47782,10529,0,dps
Warsong gulch,Horde,Druid,0,2,18,40418,24118,0,dps
Warsong gulch,Horde,Shaman,2,5,22,11027,120000,0,heal
Warsong gulch,Horde,Warlock,3,4,17,99698,42670,0,dps
Warsong gulch,Alliance,Druid,1,3,32,2247,185000,1,heal
Warsong gulch,Alliance,Rogue,5,3,32,64520,9753,1,dps
Warsong gulch,Alliance,Mage,7,1,37,99051,22809,1,dps
Warsong gulch,Horde,Paladin,0,1,10,8201,4193,0,dps
Warsong gulch,Horde,Rogue,7,4,18,53466,12543,0,dps
Warsong gulch,Alliance,Paladin,3,2,28,42171,15105,1,dps
Warsong gulch,Horde,Demon Hunter,2,4,17,21290,7684,0,dps
Warsong gulch,Alliance,Rogue,6,0,36,58153,7966,1,dps
Warsong gulch,Alliance,Mage,3,1,31,30179,13931,1,dps
Warsong gulch,Horde,Shaman,0,4,18,26439,107000,0,heal
Warsong gulch,Horde,Hunter,4,6,32,33104,13139,0,dps
Warsong gulch,Alliance,Warrior,7,1,24,37280,5801,1,dps
Warsong gulch,Alliance,Mage,6,2,52,95321,9485,1,dps
Warsong gulch,Alliance,Paladin,2,5,47,9978,191000,1,heal
Warsong gulch,Horde,Hunter,5,8,40,61001,8178,0,dps
Warsong gulch,Horde,Demon Hunter,3,9,35,60690,10478,0,dps
Warsong gulch,Alliance,Warrior,10,7,45,93892,22047,1,dps
Warsong gulch,Horde,Mage,4,5,35,35773,8290,0,dps
Warsong gulch,Horde,Rogue,2,3,19,24647,11201,0,dps
Warsong gulch,Horde,Shaman,0,5,37,13555,129000,0,heal
Warsong gulch,Alliance,Shaman,6,5,40,63042,4493,1,dps
Warsong gulch,Horde,Warlock,5,6,43,92077,38564,0,dps
Warsong gulch,Alliance,Demon Hunter,4,4,48,61627,4521,1,dps
Warsong gulch,Horde,Priest,11,4,41,98181,34577,0,dps
Warsong gulch,Alliance,Paladin,3,4,45,30481,19824,1,dps
Warsong gulch,Horde,Warrior,5,1,16,23913,7831,0,dps
Warsong gulch,Alliance,Druid,11,8,46,77764,10802,1,dps
Warsong gulch,Alliance,Mage,4,4,39,44593,16025,1,dps
Warsong gulch,Alliance,Hunter,3,6,40,37007,10112,1,dps
Warsong gulch,Horde,Mage,3,2,18,34636,3663,0,dps
Arathi basin,Horde,Druid,0,1,37,602,89597,0,heal
Arathi basin,Alliance,Hunter,0,5,18,41831,11904,1,dps
Arathi basin,Alliance,Warlock,3,2,25,34687,8781,1,dps
Arathi basin,Alliance,Rogue,4,1,36,46897,11402,1,dps
Arathi basin,Alliance,Mage,4,2,29,43420,6721,1,dps
Arathi basin,Horde,Druid,3,7,30,51786,12029,0,dps
Arathi basin,Horde,Mage,3,3,36,98883,25610,0,dps
Arathi basin,Alliance,Druid,6,1,15,59141,6873,1,dps
Arathi basin,Alliance,Druid,2,5,28,100000,25685,1,dps
Arathi basin,Horde,Shaman,0,2,2,0,5299,0,heal
Arathi basin,Alliance,Monk,1,4,34,6322,80442,1,heal
Arathi basin,Alliance,Demon Hunter,9,3,38,91509,13007,1,dps
Arathi basin,Horde,Shaman,1,3,40,31606,138000,0,heal
Arathi basin,Alliance,Monk,0,0,16,6718,157000,1,heal
Arathi basin,Horde,Demon Hunter,1,5,29,26033,3158,0,dps
Arathi basin,Horde,Warlock,6,4,30,94833,28101,0,dps
Arathi basin,Horde,Mage,2,4,42,102000,16791,0,dps
Arathi basin,Horde,Paladin,6,2,35,102000,46802,0,dps
Arathi basin,Alliance,Demon Hunter,3,7,30,158000,20371,1,dps
Arathi basin,Alliance,Death Knight,2,7,29,167000,34422,1,dps
Arathi basin,Alliance,Paladin,1,5,36,43345,18911,1,dps
Arathi basin,Horde,Warlock,4,6,25,88723,35924,0,dps
Arathi basin,Alliance,Priest,1,3,36,35394,143000,1,heal
Arathi basin,Alliance,Rogue,3,4,27,43327,11368,1,dps
Arathi basin,Horde,Monk,0,2,46,1810,181000,0,heal
Arathi basin,Horde,Monk,4,3,41,61926,35613,0,dps
Arathi basin,Horde,Death Knight,5,2,37,99377,85987,0,dps
Arathi basin,Horde,Warrior,11,1,39,73936,13502,0,dps
Arathi basin,Alliance,Druid,7,1,41,125000,34377,1,dps
Arathi basin,Alliance,Priest,2,4,13,33313,13608,0,dps
Arathi basin,Alliance,Priest,3,2,17,58591,21683,0,dps
Arathi basin,Alliance,Mage,0,1,17,502,615,0,dps
Arathi basin,Alliance,Druid,0,2,9,0,38909,0,heal
Arathi basin,Alliance,Shaman,2,5,13,39677,15426,0,dps
Arathi basin,Horde,Death Knight,3,0,20,18196,6609,1,dps
Arathi basin,Alliance,Hunter,0,2,17,35841,9123,0,dps
Arathi basin,Horde,Rogue,3,1,24,29986,12404,1,dps
Arathi basin,Horde,Warrior,8,4,27,80280,10822,1,dps
Arathi basin,Alliance,Hunter,1,5,11,48440,7385,0,dps
Arathi basin,Horde,Shaman,0,0,26,7095,93157,1,heal
Arathi basin,Alliance,Warlock,0,5,10,53026,20436,0,dps
Arathi basin,Alliance,Rogue,0,2,8,11788,5598,0,dps
Arathi basin,Horde,Priest,0,0,16,2048,20977,1,heal
Arathi basin,Horde,Priest,3,1,21,33775,8889,1,dps
Arathi basin,Horde,Rogue,3,1,20,25442,4900,1,dps
Arathi basin,Alliance,Paladin,1,1,7,33464,10869,0,dps
Arathi basin,Horde,Mage,5,0,25,41244,4604,1,dps
Arathi basin,Horde,Warlock,13,2,30,91526,67871,1,dps
Arathi basin,Horde,Hunter,1,1,27,34487,11551,1,dps
Arathi basin,Horde,Paladin,1,1,10,6076,34202,1,heal
Arathi basin,Horde,Paladin,2,1,23,4106,125000,1,heal
Arathi basin,Alliance,Warrior,0,6,8,6612,3516,0,dps
Arathi basin,Horde,Druid,1,2,13,18224,8181,1,dps
Arathi basin,Alliance,Mage,2,4,14,53676,8829,0,dps
Arathi basin,Alliance,Warlock,2,6,15,58611,31566,0,dps
Arathi basin,Alliance,Paladin,2,2,16,40503,17160,0,dps
Arathi basin,Alliance,Priest,4,2,15,42330,32358,0,dps
Arathi basin,Horde,Warlock,2,5,17,74613,46298,1,dps
Arathi basin,Horde,Shaman,5,2,14,27979,1694,1,dps
Eye of the storm,Alliance,Rogue,0,0,5,25945,9115,0,dps
Eye of the storm,Horde,Priest,4,1,68,36372,14003,1,dps
Eye of the storm,Horde,Rogue,6,4,62,56452,11215,1,dps
Eye of the storm,Horde,Death Knight,10,2,73,113000,42069,1,dps
Eye of the storm,Horde,Mage,14,2,71,147000,2485,1,dps
Eye of the storm,Horde,Demon Hunter,6,4,72,109000,24677,1,dps
Eye of the storm,Alliance,Death Knight,0,2,4,15384,10586,0,dps
Eye of the storm,Alliance,Warrior,5,5,20,39980,8112,0,dps
Eye of the storm,Alliance,Rogue,1,6,18,36420,7040,0,dps
Eye of the storm,Horde,Mage,7,2,75,93355,8303,1,dps
Eye of the storm,Horde,Rogue,3,1,80,28011,17299,1,dps
Eye of the storm,Alliance,Paladin,0,11,17,7286,79867,0,heal
Eye of the storm,Horde,Shaman,0,0,67,16431,105000,1,heal
Eye of the storm,Alliance,Paladin,2,6,16,85730,32711,0,dps
Eye of the storm,Alliance,Paladin,1,8,17,44920,27379,0,dps
Eye of the storm,Horde,Demon Hunter,4,2,72,65045,98260,1,dps
Eye of the storm,Alliance,Hunter,0,2,17,11313,2808,0,dps
Eye of the storm,Horde,Priest,2,0,80,4170,77345,1,heal
Eye of the storm,Alliance,Hunter,1,7,17,28312,2456,0,dps
Eye of the storm,Horde,Warrior,4,2,72,39217,9844,1,dps
Eye of the storm,Horde,Priest,0,1,68,6288,103000,1,heal
Eye of the storm,Horde,Mage,2,1,72,68291,14346,1,dps
Eye of the storm,Alliance,Druid,0,5,20,8067,178000,0,heal
Eye of the storm,Alliance,Hunter,2,3,23,68116,10678,0,dps
Eye of the storm,Horde,Death Knight,11,1,81,46515,16633,1,dps
Eye of the storm,Alliance,Demon Hunter,2,9,20,60160,12148,0,dps
Eye of the storm,Horde,Hunter,9,2,72,142000,11192,1,dps
Eye of the storm,Alliance,Mage,4,4,23,74179,12256,0,dps
Eye of the storm,Alliance,Demon Hunter,4,6,21,93035,28102,0,dps
Eye of the storm,Alliance,Demon Hunter,1,3,22,58282,42960,0,dps
Silvershard mines,Alliance,Rogue,10,3,30,61190,7201,1,dps
Silvershard mines,Horde,Hunter,7,4,43,55385,6574,0,dps
Silvershard mines,Alliance,Mage,2,5,18,33515,22013,1,dps
Silvershard mines,Alliance,Warlock,4,5,29,87132,31513,1,dps
Silvershard mines,Horde,Priest,1,6,43,52068,19766,0,dps
Silvershard mines,Alliance,Demon Hunter,8,5,28,102000,7385,1,dps
Silvershard mines,Horde,Shaman,0,6,39,11253,87465,0,heal
Silvershard mines,Horde,Warlock,5,1,44,64520,11610,0,dps
Silvershard mines,Horde,Shaman,0,4,39,9266,154000,0,heal
Silvershard mines,Alliance,Hunter,5,4,31,57753,13648,1,dps
Silvershard mines,Horde,Warrior,5,3,42,41195,8195,0,dps
Silvershard mines,Horde,Druid,3,3,41,54202,7814,0,dps
Silvershard mines,Alliance,Death Knight,2,4,27,34532,13726,1,dps
Silvershard mines,Alliance,Druid,0,1,29,13134,3135,1,dps
Silvershard mines,Alliance,Druid,0,5,24,213,95407,1,heal
Silvershard mines,Horde,Shaman,4,4,38,66256,7771,0,dps
Silvershard mines,Alliance,Mage,2,7,27,85595,12037,1,dps
Silvershard mines,Horde,Warrior,11,1,44,100000,15169,0,dps
Silvershard mines,Alliance,Druid,0,3,28,752,107000,1,heal
Silvershard mines,Horde,Priest,8,2,44,75467,21950,0,dps
Twin peaks,Alliance,Druid,0,3,48,32164,6759,1,dps
Twin peaks,Alliance,Warlock,8,1,53,69468,31741,1,dps
Twin peaks,Horde,Warrior,2,5,6,28747,5328,0,dps
Twin peaks,Horde,Hunter,0,8,2,41108,4690,0,dps
Twin peaks,Horde,Shaman,0,5,3,3355,24694,0,heal
Twin peaks,Horde,Warrior,3,3,5,30147,3900,0,dps
Twin peaks,Horde,Rogue,1,3,5,20680,9518,0,dps
Twin peaks,Horde,Druid,0,1,2,0,6659,0,heal
Twin peaks,Alliance,Mage,3,2,47,33083,4950,1,dps
Twin peaks,Horde,Priest,0,9,6,12408,30377,0,heal
Twin peaks,Alliance,Priest,6,1,48,67465,8015,1,dps
Twin peaks,Alliance,Monk,0,0,52,654,80639,1,heal
Twin peaks,Alliance,Death Knight,7,1,47,66542,12532,1,dps
Twin peaks,Alliance,Druid,0,0,50,1554,66777,1,heal
Twin peaks,Horde,Priest,0,2,3,7028,29418,0,heal
Twin peaks,Horde,Rogue,1,1,7,26133,3317,0,dps
Twin peaks,Alliance,Warlock,11,0,54,45015,18355,1,dps
Twin peaks,Alliance,Rogue,8,1,51,43795,4065,1,dps
Twin peaks,Alliance,Hunter,9,0,53,61122,1696,1,dps
Twin peaks,Horde,Warrior,4,4,23,57327,5239,0,dps
Twin peaks,Horde,Druid,0,4,14,18503,771,0,dps
Twin peaks,Alliance,Rogue,4,2,34,63829,11938,1,dps
Twin peaks,Alliance,Mage,5,4,28,52684,15220,1,dps
Twin peaks,Horde,Hunter,3,5,24,73468,8740,0,dps
Twin peaks,Horde,Shaman,0,4,22,9327,94946,0,heal
Twin peaks,Horde,Demon Hunter,8,4,24,94027,6354,0,dps
Twin peaks,Alliance,Warrior,3,1,27,43033,55280,1,dps
Twin peaks,Alliance,Shaman,11,3,31,95820,22104,1,dps
Twin peaks,Horde,Hunter,2,3,16,42075,11887,0,dps
Twin peaks,Horde,Mage,0,5,23,59348,11366,0,dps
Twin peaks,Horde,Priest,1,4,21,30701,101000,0,heal
Twin peaks,Alliance,Warrior,7,3,32,50948,9010,1,dps
Twin peaks,Alliance,Monk,4,4,32,64901,31383,1,dps
Twin peaks,Alliance,Rogue,3,2,24,31966,5145,1,dps
Twin peaks,Horde,Rogue,2,3,17,52094,7656,0,dps
Twin peaks,Alliance,Priest,0,3,28,7001,105000,1,heal
Twin peaks,Alliance,Mage,4,2,31,43500,4975,1,dps
Twin peaks,Alliance,Druid,1,2,23,9793,111000,1,heal
Twin peaks,Horde,Hunter,5,6,24,89454,6042,0,dps
Battle for Gilneas,Horde,Paladin,2,4,12,40804,30017,1,dps
Battle for Gilneas,Horde,Rogue,11,5,25,81765,14695,1,dps
Battle for Gilneas,Horde,Demon Hunter,1,7,23,52285,8208,1,dps
Battle for Gilneas,Alliance,Paladin,3,5,24,61565,23349,0,dps
Battle for Gilneas,Horde,Druid,2,2,32,32542,14589,1,dps
Battle for Gilneas,Alliance,Warlock,3,4,19,53599,19118,0,dps
Battle for Gilneas,Alliance,Demon Hunter,5,3,18,43899,13862,0,dps
Battle for Gilneas,Horde,Druid,3,1,23,75242,31352,1,dps
Battle for Gilneas,Horde,Rogue,8,2,30,71901,20348,1,dps
Battle for Gilneas,Horde,Shaman,1,7,20,6288,83729,1,heal
Battle for Gilneas,Alliance,Hunter,7,5,22,49495,13896,0,dps
Battle for Gilneas,Alliance,Shaman,1,2,23,21461,22309,0,heal
Battle for Gilneas,Horde,Rogue,5,4,20,36187,13063,1,dps
Battle for Gilneas,Alliance,Mage,3,3,28,40131,16250,0,dps
Battle for Gilneas,Horde,Shaman,8,5,25,53416,6494,1,dps
Battle for Gilneas,Horde,Mage,0,5,23,25637,4594,1,dps
Battle for Gilneas,Alliance,Mage,8,5,23,45830,18209,0,dps
Battle for Gilneas,Alliance,Druid,5,2,11,42859,7449,0,dps
Battle for Gilneas,Alliance,Mage,4,7,24,60269,15501,0,dps
Battle for Gilneas,Alliance,Monk,0,5,16,1963,94972,0,heal
Twin peaks,Alliance,Druid,1,1,15,30292,15899,1,dps
Twin peaks,Alliance,Hunter,3,3,14,53421,8416,1,dps
Twin peaks,Alliance,Mage,3,1,16,89383,9056,1,dps
Twin peaks,Horde,Paladin,1,1,15,18236,9161,0,dps
Twin peaks,Alliance,Warrior,0,1,7,10080,9381,1,dps
Twin peaks,Horde,Hunter,1,2,10,16320,7573,0,dps
Twin peaks,Horde,Warrior,0,1,11,26229,32661,0,dps
Twin peaks,Alliance,Rogue,2,2,15,24402,2375,1,dps
Twin peaks,Alliance,Mage,2,1,16,32010,2335,1,dps
Twin peaks,Horde,Paladin,2,2,15,54925,13230,0,dps
Twin peaks,Alliance,Paladin,2,1,16,12910,56339,1,heal
Twin peaks,Horde,Priest,0,3,12,726,113000,0,heal
Twin peaks,Alliance,Hunter,2,4,15,44031,3789,1,dps
Twin peaks,Horde,Druid,4,0,15,67441,3785,0,dps
Twin peaks,Alliance,Rogue,2,0,13,37487,5877,1,dps
Twin peaks,Alliance,Shaman,0,1,15,6203,119000,1,heal
Twin peaks,Horde,Monk,0,3,11,385,27037,0,heal
Twin peaks,Horde,Mage,2,3,15,52602,2555,0,dps
Twin peaks,Horde,Paladin,3,1,15,22395,7966,0,dps
Twin peaks,Horde,Shaman,3,2,23,30322,5902,1,dps
Twin peaks,Alliance,Druid,1,1,15,61893,11907,0,dps
Twin peaks,Alliance,Shaman,0,2,16,2042,59842,0,heal
Twin peaks,Alliance,Warrior,9,2,16,44082,14123,0,dps
Twin peaks,Horde,Paladin,6,1,24,41294,6539,1,dps
Twin peaks,Alliance,Hunter,2,3,16,34196,9027,0,dps
Twin peaks,Horde,Shaman,0,2,22,1108,41694,1,heal
Twin peaks,Alliance,Hunter,2,2,16,37140,1424,0,dps
Twin peaks,Horde,Paladin,0,0,18,0,20974,1,heal
Twin peaks,Alliance,Hunter,0,1,16,6930,112,0,dps
Twin peaks,Horde,Warlock,0,4,23,59794,29525,1,dps
Twin peaks,Horde,Rogue,7,1,24,32664,3602,1,dps
Twin peaks,Alliance,Warrior,2,5,15,15842,3325,0,dps
Twin peaks,Alliance,Priest,0,5,12,1206,8114,0,heal
Twin peaks,Horde,Warlock,1,2,23,31111,20286,1,dps
Twin peaks,Horde,Death Knight,0,0,18,3065,6172,1,dps
Twin peaks,Alliance,Rogue,0,1,16,27145,4153,0,dps
Twin peaks,Horde,Warlock,6,3,24,28841,16725,1,dps
Twin peaks,Alliance,Hunter,0,3,11,431,0,0,dps
Twin peaks,Horde,Rogue,2,1,11,14925,946,1,dps
Warsong gulch,Alliance,Warlock,0,3,8,21720,12472,0,dps
Warsong gulch,Alliance,Priest,0,4,6,12374,6978,0,dps
Warsong gulch,Horde,Death Knight,3,0,29,30050,5216,1,dps
Warsong gulch,Horde,Shaman,2,4,28,26034,7542,1,dps
Warsong gulch,Horde,Paladin,7,1,26,37652,13572,1,dps
Warsong gulch,Horde,Priest,3,0,29,31621,54313,1,heal
Warsong gulch,Horde,Priest,5,2,27,46838,7063,1,dps
Warsong gulch,Alliance,Rogue,0,2,7,6439,41,0,dps
Warsong gulch,Horde,Warrior,1,1,26,5627,658,1,dps
Warsong gulch,Horde,Shaman,0,1,21,4881,19278,1,heal
Warsong gulch,Horde,Demon Hunter,0,1,21,4595,64,1,dps
Warsong gulch,Alliance,Druid,1,2,7,45624,11933,0,dps
Warsong gulch,Alliance,Mage,6,1,10,40036,12748,0,dps
Warsong gulch,Alliance,Mage,1,2,9,38479,8661,0,dps
Warsong gulch,Alliance,Demon Hunter,0,5,8,29839,533,0,dps
Warsong gulch,Horde,Paladin,0,0,27,2436,51019,1,heal
Warsong gulch,Alliance,Mage,2,2,9,27931,6283,0,dps
Warsong gulch,Horde,Rogue,9,0,29,54622,12748,1,dps
Warsong gulch,Alliance,Paladin,0,4,6,4575,30897,0,heal
Warsong gulch,Alliance,Shaman,0,5,8,7150,1196,0,dps
Warsong gulch,Alliance,Rogue,13,0,67,67113,21108,1,dps
Warsong gulch,Alliance,Druid,11,0,68,127000,45609,1,dps
Warsong gulch,Alliance,Rogue,1,3,33,14963,11604,1,dps
Warsong gulch,Alliance,Mage,7,0,66,91886,24978,1,dps
Warsong gulch,Horde,Death Knight,1,8,10,18363,50254,0,dps
Warsong gulch,Horde,Shaman,0,1,3,1096,26018,0,heal
Warsong gulch,Horde,Hunter,0,9,18,42115,9199,0,dps
Warsong gulch,Horde,Death Knight,0,9,14,35047,22679,0,dps
Warsong gulch,Alliance,Rogue,6,5,57,41219,11188,1,dps
Warsong gulch,Horde,Warrior,3,7,22,35883,2770,0,dps
Warsong gulch,Horde,Warlock,8,6,22,65190,26067,0,dps
Warsong gulch,Alliance,Priest,11,2,63,100000,24116,1,dps
Warsong gulch,Alliance,Monk,3,4,49,27288,23080,1,dps
Warsong gulch,Horde,Paladin,3,7,20,34257,21997,0,dps
Warsong gulch,Alliance,Mage,5,3,63,60206,9793,1,dps
Warsong gulch,Horde,Warrior,3,4,22,39578,3890,0,dps
Warsong gulch,Alliance,Warlock,5,1,66,52566,14074,1,dps
Warsong gulch,Alliance,Death Knight,1,6,47,10942,4797,1,dps
Warsong gulch,Horde,Warlock,0,9,11,23853,21136,0,dps
Warsong gulch,Horde,Druid,1,4,10,10081,5321,0,dps
Warsong gulch,Horde,Warrior,8,0,36,37179,5575,1,dps
Warsong gulch,Horde,Priest,6,0,34,56082,13952,1,dps
Warsong gulch,Horde,Hunter,6,2,33,62536,9155,1,dps
Warsong gulch,Alliance,Hunter,0,1,5,27327,6610,0,dps
Warsong gulch,Horde,Warlock,3,1,30,34292,8003,1,dps
Warsong gulch,Alliance,Mage,0,3,4,17568,11550,0,dps
Warsong gulch,Horde,Shaman,1,0,31,11763,51966,1,heal
Warsong gulch,Alliance,Hunter,0,5,4,54160,2725,0,dps
Warsong gulch,Alliance,Druid,0,1,2,5032,37536,0,heal
Warsong gulch,Horde,Druid,7,0,36,87819,3206,1,dps
Warsong gulch,Alliance,Mage,2,3,4,40439,11412,0,dps
Warsong gulch,Horde,Monk,0,0,31,650,49358,1,heal
Warsong gulch,Alliance,Paladin,0,5,4,32350,4453,0,dps
Warsong gulch,Alliance,Warrior,0,5,1,11442,1206,0,dps
Warsong gulch,Alliance,Monk,0,4,3,31,75998,0,heal
Warsong gulch,Horde,Demon Hunter,1,1,36,63073,9017,1,dps
Warsong gulch,Alliance,Rogue,1,2,5,29682,7451,0,dps
Warsong gulch,Horde,Warrior,3,1,34,26300,3898,1,dps
Warsong gulch,Horde,Priest,0,0,36,8195,115000,1,heal
Warsong gulch,Alliance,Paladin,1,0,3,15249,18063,0,heal
Temple of Kotmogu,Alliance,Demon Hunter,0,3,5,30181,8397,0,dps
Temple of Kotmogu,Alliance,Mage,0,1,5,35673,11267,0,dps
